id,activity_date,activity_hour,step_total,total_intensity,average_intensity
1503960366,2016-03-12,2016-03-12T00:00:00Z,0,0,0
1503960366,2016-03-12,2016-03-12T01:00:00Z,0,0,0
1503960366,2016-03-12,2016-03-12T02:00:00Z,0,0,0
1503960366,2016-03-12,2016-03-12T03:00:00Z,0,0,0
1503960366,2016-03-12,2016-03-12T04:00:00Z,0,0,0
1503960366,2016-03-12,2016-03-12T05:00:00Z,0,0,0
1503960366,2016-03-12,2016-03-12T06:00:00Z,0,0,0
1503960366,2016-03-12,2016-03-12T07:00:00Z,0,0,0
1503960366,2016-03-12,2016-03-12T08:00:00Z,0,0,0
1503960366,2016-03-12,2016-03-12T09:00:00Z,8,1,0.016667
1503960366,2016-03-12,2016-03-12T10:00:00Z,551,26,0.433333
1503960366,2016-03-12,2016-03-12T11:00:00Z,1764,49,0.816667
1503960366,2016-03-12,2016-03-12T12:00:00Z,1259,47,0.783333
1503960366,2016-03-12,2016-03-12T13:00:00Z,253,20,0.333333
1503960366,2016-03-12,2016-03-12T14:00:00Z,4470,121,2.016667
1503960366,2016-03-12,2016-03-12T15:00:00Z,4919,129,2.15
1503960366,2016-03-12,2016-03-12T16:00:00Z,1905,42,0.7
1503960366,2016-03-12,2016-03-12T17:00:00Z,1038,20,0.333333
1503960366,2016-03-12,2016-03-12T18:00:00Z,14,2,0.033333
1503960366,2016-03-12,2016-03-12T19:00:00Z,606,30,0.5
1503960366,2016-03-12,2016-03-12T20:00:00Z,56,4,0.066667
1503960366,2016-03-12,2016-03-12T21:00:00Z,782,29,0.483333
1503960366,2016-03-12,2016-03-12T22:00:00Z,1132,41,0.683333
1503960366,2016-03-12,2016-03-12T23:00:00Z,918,35,0.583333
1503960366,2016-03-13,2016-03-13T00:00:00Z,39,3,0.05
1503960366,2016-03-13,2016-03-13T01:00:00Z,0,0,0
1503960366,2016-03-13,2016-03-13T02:00:00Z,27,1,0.016667
1503960366,2016-03-13,2016-03-13T03:00:00Z,0,0,0
1503960366,2016-03-13,2016-03-13T04:00:00Z,0,0,0
1503960366,2016-03-13,2016-03-13T05:00:00Z,0,0,0
1503960366,2016-03-13,2016-03-13T06:00:00Z,0,0,0
1503960366,2016-03-13,2016-03-13T07:00:00Z,0,0,0
1503960366,2016-03-13,2016-03-13T08:00:00Z,6,1,0.016667
1503960366,2016-03-13,2016-03-13T09:00:00Z,73,5,0.083333
1503960366,2016-03-13,2016-03-13T10:00:00Z,2850,85,1.416667
1503960366,2016-03-13,2016-03-13T11:00:00Z,4854,130,2.166667
1503960366,2016-03-13,2016-03-13T12:00:00Z,24,3,0.05
1503960366,2016-03-13,2016-03-13T13:00:00Z,118,9,0.15
1503960366,2016-03-13,2016-03-13T14:00:00Z,19,3,0.05
1503960366,2016-03-13,2016-03-13T15:00:00Z,510,23,0.383333
1503960366,2016-03-13,2016-03-13T16:00:00Z,510,25,0.416667
1503960366,2016-03-13,2016-03-13T17:00:00Z,96,5,0.083333
1503960366,2016-03-13,2016-03-13T18:00:00Z,4100,110,1.833333
1503960366,2016-03-13,2016-03-13T19:00:00Z,1756,57,0.95
1503960366,2016-03-13,2016-03-13T20:00:00Z,477,25,0.416667
1503960366,2016-03-13,2016-03-13T21:00:00Z,147,9,0.15
1503960366,2016-03-13,2016-03-13T22:00:00Z,214,17,0.283333
1503960366,2016-03-13,2016-03-13T23:00:00Z,1286,46,0.766667
1503960366,2016-03-14,2016-03-14T00:00:00Z,54,4,0.066667
1503960366,2016-03-14,2016-03-14T01:00:00Z,53,3,0.05
1503960366,2016-03-14,2016-03-14T02:00:00Z,0,0,0
1503960366,2016-03-14,2016-03-14T03:00:00Z,0,0,0
1503960366,2016-03-14,2016-03-14T04:00:00Z,0,0,0
1503960366,2016-03-14,2016-03-14T05:00:00Z,0,0,0
1503960366,2016-03-14,2016-03-14T06:00:00Z,0,0,0
1503960366,2016-03-14,2016-03-14T07:00:00Z,53,3,0.05
1503960366,2016-03-14,2016-03-14T08:00:00Z,212,14,0.233333
